Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Brummell;[17, 4, 1, 19, 19, 18, 20, 20];430;527;[27, 12, 7, 21, 17, 4, 10, 1];[7, 25, 24, 17, 21, 3, 1, 10];[2, 17, 22, 8, 12, 25, 19, 28]
Brunhild;[17, 4, 1, 9, 8, 10, 20, 23];320;417;[27, 12, 7, 11, 6, 25, 10, 4];[7, 25, 24, 7, 10, 24, 1, 13];[2, 17, 22, 18, 23, 4, 19, 25]
Brussels;[17, 4, 1, 15, 15, 18, 20, 15];374;471;[27, 12, 7, 17, 13, 4, 10, 25];[7, 25, 24, 13, 17, 3, 1, 5];[2, 17, 22, 12, 16, 25, 19, 4]
Brynhild;[17, 4, 26, 9, 8, 10, 20, 23];420;517;[27, 12, 3, 11, 6, 25, 10, 4];[7, 25, 20, 7, 10, 24, 1, 13];[2, 17, 26, 18, 23, 4, 19, 25]
Brythonic;[17, 4, 26, 2, 3, 9, 10, 5];260;357;[27, 12, 3, 4, 1, 24, 0, 15];[7, 25, 20, 0, 5, 23, 20, 24];[2, 17, 26, 25, 28, 5, 0, 14]
Bubulcus;[17, 1, 17, 1, 20, 5, 1, 15];270;367;[27, 9, 23, 3, 18, 20, 20, 25];[7, 22, 11, 28, 22, 19, 11, 5];[2, 20, 6, 26, 11, 9, 9, 4]
Buchanan;[17, 1, 5, 8, 24, 9, 24, 9];352;449;[27, 9, 11, 10, 22, 24, 14, 19];[7, 22, 28, 6, 26, 23, 5, 28];[2, 20, 18, 19, 7, 5, 15, 10]
Budapest;[17, 1, 23, 24, 13, 18, 15, 16];472;569;[27, 9, 0, 26, 11, 4, 5, 26];[7, 22, 17, 22, 15, 3, 25, 6];[2, 20, 0, 3, 18, 25, 24, 3]
Buddhism;[17, 1, 23, 23, 8, 10, 15, 19];420;517;[27, 9, 0, 25, 6, 25, 5, 0];[7, 22, 17, 21, 10, 24, 25, 9];[2, 20, 0, 4, 23, 4, 24, 0]
Buddhist;[17, 1, 23, 23, 8, 10, 15, 16];408;505;[27, 9, 0, 25, 6, 25, 5, 26];[7, 22, 17, 21, 10, 24, 25, 6];[2, 20, 0, 4, 23, 4, 24, 3]
